id,question,answer,final_coding,category
5,planet,I thought it was fake,Not convinced,Not convinced
6,magnetic,I dont believe the earth has been here 3.7 billion years,Personal convictions,Personal convictions
10,orbit,I honestly do not know anything about this stuff so i took a guess,No justification,No justification
10,cloning,I took a guess,No justification,No justification
12,material,seemed like too long of a time,Not convinced,Not convinced
14,cloning,I didn't think that many mice are actually cloned.,Not convinced,Not convinced
16,orbit,I don't believe the Earth orbits the Sun.,Personal convictions,Personal convictions
16,material,Nothing but their hypotheses without real evidence.,Not convinced,Not convinced
16,magnetic,I'm not convinced the Earth existed 3.7 billion years ago.,Personal convictions,Personal convictions
23,vertebrate,"I don't believe in this kind of carbon dating. We can only slightly estimate the age, therefore I highly doubt the exact number of 392 years is accurate.",Not convinced,Not convinced
23,material,"Earth is not billions of years old. At most, maybe 10,000 years. There is absolutely no way anything on Earth is billions of years old.",Personal convictions,Personal convictions
23,magnetic,"There was no magnetic field 3.7 billion years ago because the Earth was formed only around 6,000-10,000 years ago.",Personal convictions,Personal convictions
24,cloning,I think it's less than that percentage,Not convinced,Not convinced
26,vertebrate,"no, just a guess",No justification,No justification
26,brain,I have no idea.,No justification,No justification
26,material,No Idea,No justification,No justification
28,material,I really could not explain this,No justification,No justification
28,cloning,"No, I could not explain this either",No justification,No justification
29,orbit,Not enough science to prove.,Not convinced,Not convinced
29,material,How can anyone put an  that age on something? Humans were not around the track.,Not convinced,Not convinced
29,cloning,Do not believe that anything can be cloned 100%,Personal convictions,Personal convictions
32,drug,Science is not always accurate.,Not convinced,Not convinced
32,planet,N/A,No justification,No justification
32,vertebrate,That doesn't seem accurate.,Not convinced,Not convinced
32,brain,No.,No justification,No justification
32,boson,No.,No justification,No justification
32,orbit,No.,No justification,No justification
32,material,No.,No justification,No justification
32,cloning,No.,No justification,No justification
32,magnetic,No.,No justification,No justification
35,vertebrate,"No, because I just guessed.",No justification,No justification
35,orbit,"No, I just guessed.",No justification,No justification
35,material,No,No justification,No justification
41,planet,i guessed,No justification,No justification
41,vertebrate,i guessed,No justification,No justification
41,boson,i guessed,No justification,No justification
41,magnetic,i guessed,No justification,No justification
42,brain,There was a difference between what wiki said and the other article.,Not convinced,Not convinced
43,vertebrate,I did not see anything to support this answer.,Not convinced,Not convinced
43,brain,I did not feel like this was the correct answer.,Not convinced,Not convinced
43,material,"Based on the article, I did not see this stated.",Not convinced,Not convinced
43,cloning,There was nothing stated to prove this.,Not convinced,Not convinced
44,vertebrate,I don’t see how it is possible to know the oldest vertebrate when there are so many species out there undiscovered,Not convinced,Not convinced
44,brain,I don’t think I can explain it differently because I’m not an expert in science,No justification,No justification
44,orbit,"I am unsure if I can explain it differently, but how would we know if it never happened?",No justification,No justification
44,cloning,"Again, this is a very detailed scientific question. I feel it so I will have to have extensive knowledge to answer this or I would have to have done an experiment on my own to to know this.",Not convinced,Not convinced
45,drug,I am sure I heard it was used for malaria.,Not convinced,Not convinced
45,cloning,I am not sure cloning is a definite technique.,Not convinced,Not convinced
49,material,Religious reasons.,Religious Beliefs,Religious Beliefs
49,magnetic,Religious reasons.,Religious Beliefs,Religious Beliefs
54,vertebrate,did not know the answer,No justification,No justification
54,brain,did not know the answer,No justification,No justification
58,cloning,The success rate just seems too high.,Not convinced,Not convinced
59,vertebrate,"The websites I read, seemed to have disagreed, unless I may have misread what I was fact checking.",Not convinced,Not convinced
60,vertebrate,No.,No justification,No justification
60,orbit,No.,No justification,No justification
63,planet,"I don't know, but in my opinion when you are talking distance from star that is unknowable.",Not convinced,Not convinced
63,vertebrate,I was guessing.  But knowing age via carbon dating is just guessing as well,Not convinced,Not convinced
63,brain,I was guessing.  Same answer as others.,No justification,No justification
63,boson,I was guessing.  But same answer.  They pretend to know things that are unknowable.,Not convinced,Not convinced
63,orbit,I was guessing.  Same answer as others.  Unknowable,Not convinced,Not convinced
63,material,I was guessing.  This again is something unknowable.,Not convinced,Not convinced
63,speed,I was guessing.  This is unknowable.,Not convinced,Not convinced
63,magnetic,I was guessing.  This is unknowable.,Not convinced,Not convinced
65,vertebrate,I couldn’t locate the proof,Not convinced,Not convinced
65,speed,The proof wasn’t clear to me,Not convinced,Not convinced
65,cloning,Didn’t see the info to back this up,Not convinced,Not convinced
67,material,"Just a guess, I didn't think it made sense.",Not convinced,Not convinced
67,speed,"Figured it was the speed of light, turns out I was close.",Not convinced,Not convinced
68,orbit,I'm not really able to give an explanation,No justification,No justification
68,speed,not really,No justification,No justification
68,cloning,Not really,No justification,No justification
69,orbit,It didn't make sense to me at the time.,Not convinced,Not convinced
69,cloning,I thought it was easier to clone mice,Not convinced,Not convinced
70,orbit,these were hypothesis on the ones i got wrong.,No justification,No justification
70,speed,"it was a hypothesis, i had no idea",No justification,No justification
70,magnetic,it was a hypothesis i had no clue,No justification,No justification
72,drug,I do not believe in this consensus since it usually is fabricated,Not convinced,Not convinced
72,vertebrate,This is usually fabricated,Not convinced,Not convinced
72,brain,This is normally a fabricated fact,Not convinced,Not convinced
72,boson,This is probably fabricated,Not convinced,Not convinced
72,orbit,I do not agree with nearly scientific fact since it is made up,Not convinced,Not convinced
72,material,This is probably made up,Not convinced,Not convinced
72,speed,I do think this consensus is faked,Not convinced,Not convinced
72,magnetic,these are all made up terms,Not convinced,Not convinced
74,vertebrate,Because there was not evidence that I understood to support this theory.,Not convinced,Not convinced
74,brain,Because the research that was provided does not fully support this theory.,Not convinced,Not convinced
74,boson,Because the research that I read did not support our object this statement.,Not convinced,Not convinced
74,orbit,The research that was credited does not give a direct amount of time just a formula to get the answer.,Not convinced,Not convinced
74,material,I disagree with this statement because the research that was given says 4.6 GA years old not more than.,Not convinced,Not convinced
74,speed,I disagree because there are not enough facts to support this claim.,Not convinced,Not convinced
75,orbit,"Looking at the website given, I could not find the exact time of how long the Earth would keep orbiting, so I didn't agree.",Not convinced,Not convinced
75,speed,I could not find the answer to that in the given websites,Not convinced,Not convinced
75,cloning,I could not find data that supported that percentage.,Not convinced,Not convinced
78,material,"No, Just a thought.",No justification,No justification
78,cloning,Just a random thought,No justification,No justification
79,orbit,N/A,No justification,No justification
80,vertebrate,"I actually meant to press agree after reading the wikipedia , it had mentioned how the oldest 'recorded' vertebrate was 392 years old",Mistake,Mistake
81,drug,"Malaria sounds more like the answer to this question, since it was developed more recently.",Not convinced,Not convinced
81,brain,This question I have no idea. But I would be willing to answer differently if needed.,No justification,No justification
81,orbit,The Earth would still keep its orbit if the sun disappeared. I believe it would still take 365 days to do one full orbit on its axis.,Not convinced,Not convinced
83,material,The Bible says the Earth is 6000 years old,Religious Beliefs,Religious Beliefs
84,material,"From a biblical perspective, this is not the case. Other than that, no.",Religious Beliefs,Religious Beliefs
87,vertebrate,"No, I was just guessing.",No justification,No justification
87,speed,No. I was just guessing.,No justification,No justification
88,planet,God hasn't created stars that are millions of miles away from Earth or each other.,Religious Beliefs,Religious Beliefs
88,orbit,God created the Earth as flat and stationary!,Religious Beliefs,Religious Beliefs
88,material,"God created the Earth 6,000 years ago.",Religious Beliefs,Religious Beliefs
88,magnetic,"God created the Earth 6,000 years ago.",Religious Beliefs,Religious Beliefs
92,cloning,I feel that they've been cloning people with pretty great success for some time now.,Not convinced,Not convinced
92,magnetic,"Because I don't agree that the earth is billions years old, since I'm a Christian.",Religious Beliefs,Religious Beliefs
93,material,There is no way for man to know if it was actually formed on earth or if it was formed somewhere else and then ended up on earth.,Not convinced,Not convinced
94,boson,I agree,Mistake,Mistake
94,cloning,"The articles I read were quite vague but all stated the success of cloning mice has been incredibly low, which made me disagree with the consensus",Not convinced,Not convinced
96,orbit,I felt if the Sun disappeared than the Earth orbiting would be fast than 8 minutes.,Not convinced,Not convinced
96,speed,I would like to change my answer to agree.,Mistake,Mistake
96,cloning,I would like to change my answer to agree.,Mistake,Mistake
97,material,How do they know how old anything is?.  Everything we have been told by the powers that be for our whole lives has been a lie.  It is hard to believe anything anymore.,Not convinced,Not convinced
98,speed,I was not able to find that information in the reference material.,Not convinced,Not convinced
98,cloning,"I was not able to find that answer in the reference material. And I guess I have a deep distrust of scientists, as well. Even if I read something that a scientist said on Wikipedia or Google I would not believe it. Remember it was the scientists who said safe and effective. And the Nazis have been cloning people since the 30s, so why believe anything they say about cloning mice.",Not convinced,Not convinced
104,vertebrate,It was just a guess.,No justification,No justification
104,brain,It was just a guess.,No justification,No justification
104,boson,It was just a guess.,No justification,No justification
104,speed,It was just a guess.,No justification,No justification
105,drug,I am unfamiliar.,No justification,No justification
105,orbit,Again I have no knowledge. It was a guess,No justification,No justification
106,planet,Not sure I took a guess,No justification,No justification
106,vertebrate,Not sure I took a guess,No justification,No justification
106,brain,Not sure I took a guess,No justification,No justification
106,material,Not sure I took a guess,No justification,No justification
108,material,I don’t trust the sources as anyone can make changes,Not convinced,Not convinced
113,vertebrate,Because I dont think they really know themselves,Not convinced,Not convinced
113,material,The earth has only been around a short time and it thousands not millions or billions of years,Not convinced,Not convinced
113,magnetic,No dont believe the bible is the true map of mans existance and its not billions of years old,Religious Beliefs,Religious Beliefs
114,planet,I tried to research it and didnt find the answer so i just chose anything,Not convinced,Not convinced
114,vertebrate,I just chose an answer because I didn't know,No justification,No justification
114,material,I just chose anything because I didn't know the answer,No justification,No justification
114,cloning,I just chose anything because I didn't know the answer,No justification,No justification
115,vertebrate,It said the oldest known vertebrate was 252 years old,Not convinced,Not convinced
115,speed,I didn’t see anywhere in the articles that backs this claim.,Not convinced,Not convinced
118,vertebrate,Aren't dinosaur bones older than 392 years old?,Not convinced,Not convinced
119,material,If I understood the resources correctly I thought the time period was less. I'm questioning my answer now though!,Mistake,Mistake
121,vertebrate,one of the articles i looked at said it was a smaller number I can't remember the number.,Not convinced,Not convinced
121,material,I don't believe the earth is that old.,Not convinced,Not convinced
121,cloning,I am not completely sure.  the number just seemed very large and I think that many of them die during the process.,Not convinced,Not convinced
121,magnetic,I'm not sure.  I still do not believe that the Earth is that old.,Not convinced,Not convinced
122,speed,"When reading the material that were given, I could not find the answer to confirm it. Therefore, since I could not confirm it, I did not accept the scientific consensus.",Not convinced,Not convinced
124,planet,I didn't really understand the information on this one.,Not convinced,Not convinced
124,boson,While reading the information provided I didn't see exact confirmation on if it has an electric charge or not.,Not convinced,Not convinced
124,material,The answer was vague and not exact it just said more than 4 billion but not more than 4.6 billion.,Not convinced,Not convinced
128,drug,Because I thought it was the answer I had out.,No justification,No justification
128,planet,It’s that far away.,Not convinced,Not convinced
128,vertebrate,It shows that it was correct,No justification,No justification
128,brain,Because of what I read.,Not convinced,Not convinced
128,orbit,I had read it wrong.,Mistake,Mistake
130,brain,Neurons are everywhere.  I assumed that glials cells were not as prevalent as neurons.,Not convinced,Not convinced
130,cloning,It was hard to believe science had progressed that much regarding cloning.  Cloning brings to mind science in the far future.,Not convinced,Not convinced
132,orbit,I don't have anything scientifically to offer other than I just don't believe that's true.,No justification,No justification
133,brain,I remember briefly coming across information on this subject and at the time they were thing they out numbered them 10.1. however that could of changed the more research that was done.,Not convinced,Not convinced
133,cloning,"i just assumed that cloning would not have a high success rate from reading about years ago, but I assume things have changed.",Not convinced,Not convinced
134,planet,I do not believe we can measure the distance of stars.,Not convinced,Not convinced
134,orbit,I took a guess because I do not believe we can predict such a thing.,No justification,No justification
134,material,I do not believe the earth is that old.,Not convinced,Not convinced
136,cloning,I’m not sure that I believe that they are that successful.,Not convinced,Not convinced
137,material,Not enough scientific proof,Not convinced,Not convinced
137,cloning,I don't believe in cloning techniques,Not convinced,Not convinced
137,magnetic,It's possible that the earth magnetic field 3.7 billion years ago was 15 micro Tesla,Mistake,Mistake
139,planet,I misread and thought they were talking about the distant from earth to Kepler.,Mistake,Mistake
139,brain,It depends on the area of the brain and there could be some differences depending on which brains you are looking at.,Not convinced,Not convinced
139,magnetic,I just wasn't sure.,No justification,No justification
140,vertebrate,No.,No justification,No justification
140,brain,No,No justification,No justification
140,material,No,No justification,No justification
140,cloning,No,No justification,No justification
143,planet,I don't trust that astronomers can accurately measure this.,Not convinced,Not convinced
143,vertebrate,I don't trust carbon 14 dating. I don't know what bomb-pusle is.,Not convinced,Not convinced
143,orbit,I don't trust that scientists can estimate this accurately.,Not convinced,Not convinced
143,material,I don't trust that scientists have a way to measure this accurately.,Not convinced,Not convinced
143,magnetic,I don't trust that scientists have a way to measure this accurately.,Not convinced,Not convinced
145,magnetic,i cant explain why i answered differently i probably forgot,No justification,No justification
151,boson,"In some theoretical models or speculative physics, there might be hypotheses about different properties of the Higgs boson.",Not convinced,Not convinced
151,speed,The exact percentage of the speed of light can vary slightly depending on the specific conditions and the state of the accelerator at any given time. Precision in reporting such values is crucial.,Not convinced,Not convinced
151,cloning,The success rate might also depend on the specific strain of mice used or the conditions under which the cloning was performed. Variations in experimental conditions can affect the reported success rates.,Not convinced,Not convinced
152,boson,Neutrality is a toxic line of thinking and only establishes constraints,No justification,No justification
152,material,Universe is very old yes,No justification,No justification
152,speed,LHC is not what they say is it,No justification,No justification
152,cloning,"""sucess"" for one thing but also this is vague and doesn't really say much",No justification,No justification
152,magnetic,No way to really know this for sure and it also doesnt matter much,Not convinced,Not convinced
153,orbit,I think if the sun disappeared the gravitational field would disappear nearly immediately; and the Earth would continue on in a straight line.,Not convinced,Not convinced
154,orbit,I accept the scientific consensus but I do not accept Wikipedia as a confirming source of scientific data.,Not convinced,Not convinced
154,material,I don't have an explanation as to why I answered differently.,No justification,No justification
154,speed,I thought from memory of my previous reading that my answer was correct.,No justification,No justification
155,planet,I believe that there is not a way to accurately measure such a thing,Not convinced,Not convinced
